"priority","type","url","reason"
"1","landing","https://www.frenciniz.com/axor-1840-balata","Axor 1840 Balata | priority 0.93"
"2","landing","https://www.frenciniz.com/axor-1840-fren-diski","Axor 1840 Fren Diski | priority 0.93"
"3","landing","https://www.frenciniz.com/axor-1840-kampana","Axor 1840 Kampana | priority 0.93"
"4","landing","https://www.frenciniz.com/axor-1840-bijon","Axor 1840 Bijon | priority 0.93"
"5","landing","https://www.frenciniz.com/axor-1840-fren-pabucu","Axor 1840 Fren Pabucu | priority 0.93"
"6","landing","https://www.frenciniz.com/axor-1840-fren-korugu","Axor 1840 Fren Körüğü | priority 0.93"
"7","landing","https://www.frenciniz.com/axor-1840-kaliper-tamir-takimi","Axor 1840 Kaliper Tamir Takimi | priority 0.93"
"8","landing","https://www.frenciniz.com/axor-1840-abs-sensoru","Axor 1840 ABS Sensoru | priority 0.93"
"9","landing","https://www.frenciniz.com/axor-1840-fren-circiri","Axor 1840 Fren Circiri | priority 0.93"
"10","landing","https://www.frenciniz.com/axor-1840-porya-kapagi","Axor 1840 Porya Kapagi | priority 0.93"
"11","landing","https://www.frenciniz.com/axor-1840-hava-korugu","Axor 1840 Hava Korugu | priority 0.93"
"12","landing","https://www.frenciniz.com/axor-3340-balata","Axor 3340 Balata | priority 0.93"
"13","landing","https://www.frenciniz.com/axor-3340-fren-diski","Axor 3340 Fren Diski | priority 0.93"
"14","landing","https://www.frenciniz.com/axor-3340-kampana","Axor 3340 Kampana | priority 0.93"
"15","landing","https://www.frenciniz.com/axor-3340-bijon","Axor 3340 Bijon | priority 0.93"
"16","landing","https://www.frenciniz.com/axor-3340-fren-pabucu","Axor 3340 Fren Pabucu | priority 0.93"
"17","landing","https://www.frenciniz.com/axor-3340-fren-korugu","Axor 3340 Fren Körüğü | priority 0.93"
"18","landing","https://www.frenciniz.com/axor-3340-kaliper-tamir-takimi","Axor 3340 Kaliper Tamir Takimi | priority 0.93"
"19","landing","https://www.frenciniz.com/axor-3340-abs-sensoru","Axor 3340 ABS Sensoru | priority 0.93"
"20","landing","https://www.frenciniz.com/axor-3340-fren-circiri","Axor 3340 Fren Circiri | priority 0.93"
"21","landing","https://www.frenciniz.com/axor-3340-porya-kapagi","Axor 3340 Porya Kapagi | priority 0.93"
"22","landing","https://www.frenciniz.com/axor-3340-hava-korugu","Axor 3340 Hava Korugu | priority 0.93"
"23","landing","https://www.frenciniz.com/axor-4140-balata","Axor 4140 Balata | priority 0.93"
"24","landing","https://www.frenciniz.com/axor-4140-fren-diski","Axor 4140 Fren Diski | priority 0.93"
"25","landing","https://www.frenciniz.com/axor-4140-kampana","Axor 4140 Kampana | priority 0.93"
"26","landing","https://www.frenciniz.com/axor-4140-fren-pabucu","Axor 4140 Fren Pabucu | priority 0.93"
"27","landing","https://www.frenciniz.com/actros-1840-balata","Actros 1840 Balata | priority 0.93"
"28","landing","https://www.frenciniz.com/actros-1840-fren-diski","Actros 1840 Fren Diski | priority 0.93"
"29","landing","https://www.frenciniz.com/actros-1840-kampana","Actros 1840 Kampana | priority 0.93"
"30","landing","https://www.frenciniz.com/actros-1840-bijon","Actros 1840 Bijon | priority 0.93"
"31","landing","https://www.frenciniz.com/actros-1840-fren-pabucu","Actros 1840 Fren Pabucu | priority 0.93"
"32","landing","https://www.frenciniz.com/actros-1840-fren-korugu","Actros 1840 Fren Körüğü | priority 0.93"
"33","landing","https://www.frenciniz.com/actros-1840-kaliper-tamir-takimi","Actros 1840 Kaliper Tamir Takimi | priority 0.93"
"34","landing","https://www.frenciniz.com/actros-1840-abs-sensoru","Actros 1840 ABS Sensoru | priority 0.93"
"35","landing","https://www.frenciniz.com/actros-1840-fren-circiri","Actros 1840 Fren Circiri | priority 0.93"
"36","landing","https://www.frenciniz.com/actros-1840-porya-kapagi","Actros 1840 Porya Kapagi | priority 0.93"
"37","landing","https://www.frenciniz.com/actros-1840-hava-korugu","Actros 1840 Hava Korugu | priority 0.93"
"38","landing","https://www.frenciniz.com/actros-3340-balata","Actros 3340 Balata | priority 0.93"
"39","landing","https://www.frenciniz.com/actros-3340-fren-diski","Actros 3340 Fren Diski | priority 0.93"
"40","landing","https://www.frenciniz.com/actros-3340-kampana","Actros 3340 Kampana | priority 0.93"
"41","landing","https://www.frenciniz.com/actros-3340-bijon","Actros 3340 Bijon | priority 0.93"
"42","landing","https://www.frenciniz.com/actros-3340-fren-pabucu","Actros 3340 Fren Pabucu | priority 0.93"
"43","landing","https://www.frenciniz.com/actros-3340-fren-korugu","Actros 3340 Fren Körüğü | priority 0.93"
"44","landing","https://www.frenciniz.com/actros-3340-kaliper-tamir-takimi","Actros 3340 Kaliper Tamir Takimi | priority 0.93"
"45","landing","https://www.frenciniz.com/actros-3340-abs-sensoru","Actros 3340 ABS Sensoru | priority 0.93"
"46","landing","https://www.frenciniz.com/actros-3340-fren-circiri","Actros 3340 Fren Circiri | priority 0.93"
"47","landing","https://www.frenciniz.com/actros-3340-porya-kapagi","Actros 3340 Porya Kapagi | priority 0.93"
"48","landing","https://www.frenciniz.com/actros-3340-hava-korugu","Actros 3340 Hava Korugu | priority 0.93"
"49","landing","https://www.frenciniz.com/actros-4140-balata","Actros 4140 Balata | priority 0.93"
"50","landing","https://www.frenciniz.com/actros-4140-fren-diski","Actros 4140 Fren Diski | priority 0.93"
